Return,Risk,Sharpe,WgtInditex,WgtIberdrola
0.0006803421944224794,0.0149758491496263,0.04542929002723404,0.881487226044251,0.11851277395574898
0.0006671806224750233,0.013938885588246483,0.04786470326132829,0.7517879692133606,0.24821203078663936
0.000640295807886755,0.012658088440603175,0.05058392591355951,0.4868545337502334,0.5131454662497665
0.0006304794780377428,0.012525358989417219,0.05033624014852111,0.39012059563808615,0.6098794043619139
0.0006707133274600026,0.014194423082723716,0.047251890658123304,0.7866006202389204,0.21339937976107962
0.0006329583532706989,0.012540714049516538,0.050472273809249346,0.41454839778622204,0.585451602213778
0.0006417818723348084,0.012694773234493759,0.05055481184894133,0.5014987916918213,0.4985012083081787
0.0006446883953609866,0.012778836459780887,0.05044969449214164,0.5301408017771017,0.46985919822289834
0.0006717782276915894,0.01427488504357924,0.04706014974136351,0.7970945619342771,0.20290543806572292
0.0006686848050487718,0.014045516553092918,0.04760841671583256,0.7666107702231492,0.23338922977685084
0.0006725408240780678,0.014333455305650061,0.04692105355872991,0.8046094837827502,0.19539051621724982
0.0006633004772401997,0.01367927373257097,0.04848945128284488,0.7135515066265484,0.2864484933734515
0.0006168970097997661,0.012660302470937572,0.04872687767262176,0.25627366280760194,0.743726337192398
0.0006368413704621089,0.012589522989698437,0.05058502780313549,0.4528131617519571,0.5471868382480428
0.0006286929852844245,0.012521965128329222,0.05020721419053414,0.3725158001498132,0.6274841998501868
0.0006284335474313279,0.012522007281555446,0.05018632662488484,0.3699591984859113,0.6300408015140887
0.0006451771732639441,0.01279455619288286,0.050425912672362364,0.5349574096277477,0.46504259037225226
0.0006418811212601225,0.012697375927289952,0.05055226567566245,0.5024768292625535,0.4975231707374464
0.0006426636815804391,0.012718563958371454,0.050529578943339204,0.5101884834916691,0.4898115165083309
0.0006071571723206213,0.012979030912044711,0.04677985409197011,0.16029351030439712,0.8397064896956029
0.0006473611131419153,0.012870286150952098,0.050298890448059366,0.5564788039009411,0.4435211960990589
