Portfolio,uP (Daily Return),sP (Daily Volatility),Sharpe Ratio,CVar99%,Max Drawdown
Model 1 (unconstrained),0.00033490048262602173,0.010679975099291987,0.03135779620387162,0.03707732094553894,-0.2737460757326343
Model 2 (unconstrained),0.00025507655562518315,0.011649228731575784,0.021896432931545598,0.042752972376539494,-0.3074400476490972
Model 3 (unconstrained),0.0005117168446184051,0.011882108687204972,0.04306616427178771,0.04361011986963429,-0.3025997242659353
Model 1 (budget + bounds + cardinality),0.0003400393878384113,0.010667018284458868,0.03187764178991105,0.03700031749613127,-0.2739139953919828
Model 2 (budget + bounds + cardinality),0.0004057226806078337,0.01054301748878903,0.03848259580706007,0.03621971568846913,-0.26611534276883186
Model 3 (budget + bounds + cardinality),0.0005547745969471768,0.010826300277169456,0.0512432301658109,0.0372936575246755,-0.27130199641200076
