Portfolio,uP (Annual Return),sP (Annual Volatility),Sharpe Ratio,CVar99%,Max Drawdown
Model 1 (unconstrained),0.084394921621752,0.16953934872653237,0.4977895825109092,0.588584223014533,-0.2737460757326343
Model 2 (unconstrained),0.06427929201752519,0.18492577313674624,0.347595096817537,0.678682396302824,-0.3074400476490972
Model 3 (unconstrained),0.1289526448438368,0.18862262782430594,0.6836541635076295,0.6922891909246118,-0.3025997242659353
Model 1 (budget + bounds + cardinality),0.0856899257352768,0.169333665667541,0.5060418753558137,0.5873618311511715,-0.2739139953919828
Model 2 (budget + bounds + cardinality),0.1022421155131656,0.16736521406124244,0.6108922698581383,0.5749701616149231,-0.2661153427688318
Model 3 (budget + bounds + cardinality),0.1398031984306692,0.1718621889137993,0.8134610603661642,0.5920184597418242,-0.2713019964120007
