Date,Close,High,Low,Open,Volume,Company,Ticker
2010-06-01,3.445958375930786,8.069999694824219,7.8125,8.039999961853027,2750164,Red Eléctrica de España,REE.MC
2010-06-02,3.5213747024536133,8.171250343322754,7.8125,7.994999885559082,3546008,Red Eléctrica de España,REE.MC
2010-06-03,3.4955170154571533,8.287500381469727,8.111249923706055,8.25,3318616,Red Eléctrica de España,REE.MC
2010-06-04,3.425487518310547,8.154999732971191,7.847499847412109,8.140000343322754,5129400,Red Eléctrica de España,REE.MC
2010-06-07,3.415791749954224,7.9375,7.75,7.90625,3355896,Red Eléctrica de España,REE.MC
2010-06-08,3.395860433578491,8.0,7.800000190734863,8.0,4979132,Red Eléctrica de España,REE.MC
2010-06-09,3.431413650512696,7.991250038146973,7.817500114440918,7.853750228881836,3662552,Red Eléctrica de España,REE.MC
2010-06-10,3.5116777420043945,8.21500015258789,7.90500020980835,7.994999885559082,5670664,Red Eléctrica de España,REE.MC
2010-06-11,3.5978667736053467,8.425000190734863,8.147500038146973,8.163749694824219,4061660,Red Eléctrica de España,REE.MC
2010-06-14,3.639883756637573,8.645000457763672,8.359999656677246,8.645000457763672,3895684,Red Eléctrica de España,REE.MC
2010-06-15,3.706142902374268,8.6274995803833,8.322500228881836,8.34749984741211,3590296,Red Eléctrica de España,REE.MC
2010-06-16,3.757317781448364,8.756250381469727,8.569999694824219,8.619999885559082,5347704,Red Eléctrica de España,REE.MC
2010-06-17,3.725535392761232,8.727499961853027,8.625,8.717499732971191,3529716,Red Eléctrica de España,REE.MC
2010-06-18,3.754085063934326,8.767499923706055,8.600000381469727,8.600000381469727,4689152,Red Eléctrica de España,REE.MC
2010-06-21,3.7519302368164062,8.8725004196167,8.677499771118164,8.711250305175781,3112584,Red Eléctrica de España,REE.MC
2010-06-22,3.7066807746887207,8.793749809265137,8.537500381469727,8.702500343322754,4100800,Red Eléctrica de España,REE.MC
2010-06-23,3.6738204956054688,8.725000381469727,8.521249771118164,8.522500038146973,2857488,Red Eléctrica de España,REE.MC
2010-06-24,3.5170652866363525,8.617500305175781,8.149999618530273,8.529999732971191,9953428,Red Eléctrica de España,REE.MC
2010-06-25,3.304823160171509,8.1850004196167,7.639999866485596,8.168749809265137,23185764,Red Eléctrica de España,REE.MC
2010-06-28,3.255802631378174,7.81125020980835,7.505000114440918,7.728750228881836,9955992,Red Eléctrica de España,REE.MC
2010-06-29,3.194931745529175,7.554999828338623,7.389999866485596,7.512499809265137,6978284,Red Eléctrica de España,REE.MC
2010-06-30,3.1717686653137207,7.514999866485596,7.317500114440918,7.506249904632568,13261852,Red Eléctrica de España,REE.MC
2010-07-01,3.164705991744995,7.170000076293945,6.982500076293945,6.982500076293945,5240936,Red Eléctrica de España,REE.MC
2010-07-02,3.280555963516236,7.497499942779541,7.079999923706055,7.102499961853027,13764796,Red Eléctrica de España,REE.MC
2010-07-05,3.269415140151977,7.432499885559082,7.304999828338623,7.353750228881836,3765616,Red Eléctrica de España,REE.MC
2010-07-06,3.395291805267334,7.691249847412109,7.357500076293945,7.375,5717540,Red Eléctrica de España,REE.MC
2010-07-07,3.461014747619629,7.800000190734863,7.53249979019165,7.596250057220459,4250788,Red Eléctrica de España,REE.MC
2010-07-08,3.47939395904541,7.863749980926514,7.733749866485596,7.809999942779541,2668360,Red Eléctrica de España,REE.MC
2010-07-09,3.492204666137696,7.863749980926514,7.710000038146973,7.863749980926514,2427448,Red Eléctrica de España,REE.MC
2010-07-12,3.455444097518921,7.807499885559082,7.708749771118164,7.802499771118164,3831540,Red Eléctrica de España,REE.MC
2010-07-13,3.5077993869781494,7.872499942779541,7.75,7.755000114440918,5494264,Red Eléctrica de España,REE.MC
2010-07-14,3.5311925411224365,7.925000190734863,7.818749904632568,7.875,6631380,Red Eléctrica de España,REE.MC
2010-07-15,3.5584840774536133,8.021249771118164,7.902500152587891,7.9375,3370028,Red Eléctrica de España,REE.MC
2010-07-16,3.536205053329468,8.012499809265137,7.894999980926514,7.965000152587891,4157524,Red Eléctrica de España,REE.MC
2010-07-19,3.5206098556518555,8.015000343322754,7.868750095367432,7.93625020980835,5153204,Red Eléctrica de España,REE.MC
2010-07-20,3.5467870235443115,7.987500190734863,7.789999961853027,7.987500190734863,1397708,Red Eléctrica de España,REE.MC
2010-07-21,3.560155153274536,8.085000038146973,7.872499942779541,7.988749980926514,2719740,Red Eléctrica de España,REE.MC
2010-07-22,3.630890369415283,8.154999732971191,7.952499866485596,7.980000019073486,1919208,Red Eléctrica de España,REE.MC
2010-07-23,3.6626384258270255,8.244999885559082,8.077500343322754,8.125,2260880,Red Eléctrica de España,REE.MC
2010-07-26,3.668206691741944,8.301250457763672,8.100000381469727,8.295000076293945,1188168,Red Eléctrica de España,REE.MC
2010-07-27,3.739498853683472,8.4087495803833,8.2212495803833,8.300000190734863,2348108,Red Eléctrica de España,REE.MC
2010-07-28,3.738940954208374,8.416250228881836,8.273750305175781,8.413749694824219,2965552,Red Eléctrica de España,REE.MC
2010-07-29,3.729474067687988,8.475000381469727,8.331250190734863,8.412500381469727,1857428,Red Eléctrica de España,REE.MC
2010-07-30,3.7428407669067374,8.511249542236328,8.321249961853027,8.449999809265137,2112220,Red Eléctrica de España,REE.MC
2010-08-02,3.8163602352142334,8.595000267028809,8.333749771118164,8.373749732971191,2774088,Red Eléctrica de España,REE.MC
2010-08-03,3.785728693008423,8.607500076293945,8.407500267028809,8.523750305175781,2621496,Red Eléctrica de España,REE.MC
2010-08-04,3.811905860900879,8.670000076293945,8.461250305175781,8.521249771118164,1782880,Red Eléctrica de España,REE.MC
2010-08-05,3.809677839279175,8.698749542236328,8.512499809265137,8.616250038146973,1316192,Red Eléctrica de España,REE.MC
2010-08-06,3.718891143798828,8.635000228881836,8.272500038146973,8.542499542236328,1861264,Red Eléctrica de España,REE.MC
2010-08-09,3.805221796035767,8.550000190734863,8.414999961853027,8.4375,842136,Red Eléctrica de España,REE.MC
2010-08-10,3.7595505714416495,8.516249656677246,8.34375,8.46875,1279720,Red Eléctrica de España,REE.MC
2010-08-11,3.6470422744750977,8.477499961853027,8.161250114440918,8.375,1952268,Red Eléctrica de España,REE.MC
2010-08-12,3.693827390670776,8.336250305175781,8.175000190734863,8.176250457763672,1974508,Red Eléctrica de España,REE.MC
2010-08-13,3.699397087097168,8.367500305175781,8.212499618530273,8.350000381469727,1841284,Red Eléctrica de España,REE.MC
2010-08-16,3.690486431121826,8.352499961853027,8.175000190734863,8.302499771118164,1550148,Red Eléctrica de España,REE.MC
2010-08-17,3.7383854389190674,8.390000343322754,8.223750114440918,8.295000076293945,746104,Red Eléctrica de España,REE.MC
2010-08-18,3.735600471496582,8.422499656677246,8.31624984741211,8.31624984741211,933748,Red Eléctrica de España,REE.MC
2010-08-19,3.69549822807312,8.486249923706055,8.274999618530273,8.417499542236328,1008840,Red Eléctrica de España,REE.MC
2010-08-20,3.628105401992798,8.3412504196167,8.06624984741211,8.251250267028809,1470748,Red Eléctrica de España,REE.MC
2010-08-23,3.683803081512451,8.322500228881836,8.142499923706055,8.142499923706055,996520,Red Eléctrica de España,REE.MC
2010-08-24,3.652612209320069,8.291250228881836,8.079999923706055,8.262499809265137,1100140,Red Eléctrica de España,REE.MC
2010-08-25,3.597471237182617,8.236249923706055,8.0,8.197500228881836,1903148,Red Eléctrica de España,REE.MC
2010-08-26,3.630890369415283,8.217499732971191,8.037500381469727,8.101249694824219,1856056,Red Eléctrica de España,REE.MC
2010-08-27,3.682688474655152,8.265000343322754,8.077500343322754,8.126250267028809,1078484,Red Eléctrica de España,REE.MC
2010-08-30,3.6871438026428223,8.321249961853027,8.232500076293945,8.273750305175781,764192,Red Eléctrica de España,REE.MC
2010-08-31,3.622535467147827,8.25,8.082500457763672,8.137499809265137,2100024,Red Eléctrica de España,REE.MC
