Date,Close,High,Low,Open,Volume
2010-01-04,8.835640907287598,8.872648819481572,8.763937609667686,8.807884765255857,503693
2010-01-05,8.863394737243652,8.911967769799357,8.662164196330657,8.872647337405386,1628290
2010-01-06,8.960541725158691,8.969794326273306,8.689921228659756,8.798632431510306,987258
2010-01-07,8.909655570983887,8.951290198265927,8.826387979509835,8.895777916253216,652256
2010-01-08,8.960541725158691,9.039183429590478,8.789380661940683,9.034557544805663,864368
2010-01-11,8.777812957763672,9.062311883607917,8.747744296867097,9.02761650730126,741818
2010-01-12,8.53494930267334,8.90271582931397,8.336032123527138,8.900403302976859,911482
2010-01-13,8.46093463897705,8.761622945240662,8.384605467654577,8.521071967611805,1628556
2010-01-14,8.537263870239258,8.66447861469755,8.396171471157245,8.650600128528822,1983322
2010-01-15,8.470186233520508,8.692234522359625,8.465561180314989,8.581209962167573,1089732
2010-01-18,8.595088005065918,8.618218259171542,8.303651459986728,8.467873270574868,906638
2010-01-19,8.768562316894531,8.79400509719554,8.437803678346604,8.585836138782794,826431
2010-01-20,8.618216514587402,8.881897699216834,8.532634758029882,8.789378364612896,1500873
2010-01-21,8.502569198608398,8.682982881554745,8.442431858656333,8.641349914196061,1279525
2010-01-22,8.185688972473145,8.477125534568987,8.10010802513929,8.453995279112814,1307823
2010-01-25,8.326781272888184,8.377666836452027,8.081603561436978,8.185688878246632,776364
2010-01-26,8.257390022277832,8.347597679601709,8.153306374672034,8.27820774965291,589053
2010-01-27,8.109358787536621,8.248139485723138,8.063099109171096,8.192627206448531,477016
2010-01-28,7.956701755523682,8.238887361328883,7.956701755523682,8.215757107370363,663974
2010-01-29,7.972893714904785,8.0538479502946,7.801731810969684,8.002962383389857,1021202
2010-02-01,8.1694974899292,8.229634820183254,7.887311882088443,7.919693905245984,1147997
2010-02-02,8.340659141540527,8.391544706412803,8.097794781981477,8.188001615378697,686444
2010-02-03,8.333719253540039,8.4007958192685,8.257389256665153,8.396169935240144,652761
2010-02-04,7.54498815536499,8.400796752787317,7.443216200797397,8.35916296036079,1933842
2010-02-05,7.60050106048584,7.919694604169473,6.948236318345593,7.461721186575997,2770337
2010-02-08,7.646760940551758,7.850304040251594,7.267430051421356,7.644448413801837,1152378
2010-02-09,7.639821052551269,7.723089470967867,7.489476890871379,7.61900498737833,975732
2010-02-10,7.843365669250488,8.072352385205681,7.699960737478291,7.699960737478291,1194031
2010-02-11,7.625943183898926,8.095480857428068,7.572744264551958,7.873433410991582,1184102
2010-02-12,7.299810886383057,7.725402268043156,7.27668146230044,7.690707716146734,1746916
2010-02-15,7.276681423187256,7.3784525516937265,7.193413833847418,7.3113768064421825,1297501
2010-02-16,7.188788414001465,7.357636961769998,7.031504994732566,7.290560380635183,1896479
2010-02-17,7.639821052551269,7.760097379749144,7.186474377866876,7.186474377866876,2545963
