,Best,Worst,Average,Std. Dev.,Median
Binary GA,7.753381937067144e-08,2.8785081970175654,0.12994144381145897,0.5250425074889755,0.0006019105850277885
Real GA,1.893182721473407e-08,0.00016273187378494525,1.6900973926436305e-05,3.061744233268526e-05,4.9867523013073255e-06
