,Best,Worst,Average,Std. Dev.,FeasibleRuns,FeasiblePercent
Binary GA,13.591030997576894,13.591030997576894,13.591030997576894,0.0,1.0,3.3333333333333335
Real GA,13.595304820585142,13.595304820585142,13.595304820585142,0.0,1.0,3.3333333333333335
