Date,Close,High,Low,Open,Volume,Company,Ticker
2010-06-01,2.8340003490448,5.53000020980835,5.184999942779541,5.353000164031982,4581773,Ferrovial,FER.MC
2010-06-02,2.798375606536865,5.479000091552734,5.28000020980835,5.4670000076293945,3082043,Ferrovial,FER.MC
2010-06-03,2.7679126262664795,5.589000225067139,5.340000152587891,5.548999786376953,3231818,Ferrovial,FER.MC
2010-06-04,2.686337471008301,5.447999954223633,5.125999927520752,5.409999847412109,4244091,Ferrovial,FER.MC
2010-06-07,2.617668628692627,5.255000114440918,5.019999980926514,5.203000068664551,4391489,Ferrovial,FER.MC
2010-06-08,2.615602731704712,5.138999938964844,4.880000114440918,5.070000171661377,6064324,Ferrovial,FER.MC
2010-06-09,2.7245430946350098,5.320000171661377,5.093999862670898,5.093999862670898,7114726,Ferrovial,FER.MC
2010-06-10,2.8035387992858887,5.568999767303467,5.151000022888184,5.228000164031982,6337074,Ferrovial,FER.MC
2010-06-11,2.906799793243408,5.730000019073486,5.451000213623047,5.488999843597412,6912776,Ferrovial,FER.MC
2010-06-14,2.9160919189453125,5.767000198364258,5.579999923706055,5.744999885559082,3900775,Ferrovial,FER.MC
2010-06-15,2.9625608921051025,5.764999866485596,5.551000118255615,5.60699987411499,3098531,Ferrovial,FER.MC
2010-06-16,2.9584295749664307,5.928999900817871,5.610000133514404,5.800000190734863,4717925,Ferrovial,FER.MC
2010-06-17,2.9517176151275635,5.839000225067139,5.659999847412109,5.705999851226807,6179415,Ferrovial,FER.MC
2010-06-18,2.9279680252075195,5.77899980545044,5.599999904632568,5.716000080108643,8496659,Ferrovial,FER.MC
2010-06-21,2.9888923168182373,5.927999973297119,5.671000003814697,5.671000003814697,11421948,Ferrovial,FER.MC
2010-06-22,2.9610116481781006,5.908999919891357,5.679999828338623,5.78000020980835,4825926,Ferrovial,FER.MC
2010-06-23,2.919707775115967,5.806000232696533,5.632999897003174,5.735000133514404,4920137,Ferrovial,FER.MC
2010-06-24,2.849489450454712,5.739999771118164,5.489999771118164,5.7129998207092285,11559751,Ferrovial,FER.MC
