Date,Close,High,Low,Open,Volume,Company,Ticker
2010-06-01,5.280632019042969,15.512290954589844,14.879538536071776,15.38870620727539,31764071,Telefónica,TEF.MC
2010-06-02,5.322917461395264,15.630931854248049,15.097047805786133,15.433197021484377,53518454,Telefónica,TEF.MC
2010-06-03,5.361820697784424,16.006628036499023,15.63587474822998,15.63587474822998,68384629,Telefónica,TEF.MC
2010-06-04,5.224815368652344,15.88798713684082,15.126708030700684,15.670477867126465,34161963,Telefónica,TEF.MC
2010-06-07,5.165614128112793,15.265122413635254,14.83999252319336,15.265122413635254,45266774,Telefónica,TEF.MC
2010-06-08,5.087807655334473,15.205801963806152,14.716407775878906,15.097047805786133,38719756,Telefónica,TEF.MC
2010-06-09,5.097957611083984,14.953689575195312,14.662031173706056,14.86965274810791,48300396,Telefónica,TEF.MC
2010-06-10,5.285705089569092,15.507347106933594,14.726295471191406,14.89931297302246,45517425,Telefónica,TEF.MC
2010-06-11,5.393956661224365,15.868212699890137,15.38870620727539,15.448026657104492,69724476,Telefónica,TEF.MC
2010-06-14,5.419328689575195,15.99674129486084,15.675421714782717,15.764402389526367,39097279,Telefónica,TEF.MC
2010-06-15,5.486985683441162,16.065948486328125,15.556780815124512,15.838553428649902,41065561,Telefónica,TEF.MC
2010-06-16,5.409180164337158,16.10549545288086,15.734742164611816,16.036287307739258,48462985,Telefónica,TEF.MC
2010-06-17,5.458230972290039,16.09560775756836,15.749571800231934,15.808893203735352,44415425,Telefónica,TEF.MC
2010-06-18,5.481911659240723,16.174701690673828,15.88798713684082,15.952251434326172,116597769,Telefónica,TEF.MC
2010-06-21,5.558026313781738,16.45153045654297,16.120325088500977,16.120325088500977,114198083,Telefónica,TEF.MC
2010-06-22,5.534344673156738,16.30817222595215,16.001684188842773,16.24390983581543,28664982,Telefónica,TEF.MC
2010-06-23,5.473454475402832,16.184589385986328,15.902816772460938,16.174701690673828,22597670,Telefónica,TEF.MC
2010-06-24,5.344906806945801,16.174701690673828,15.541951179504396,15.99674129486084,23889158,Telefónica,TEF.MC
2010-06-25,5.314459323883057,15.754515647888184,15.433197021484377,15.621045112609863,24092417,Telefónica,TEF.MC
2010-06-28,5.3871917724609375,15.789118766784668,15.452969551086426,15.532064437866213,21620483,Telefónica,TEF.MC
2010-06-29,5.111489295959473,15.561723709106444,14.938859939575195,15.561723709106444,44536187,Telefónica,TEF.MC
2010-06-30,5.160540580749512,15.319499015808104,14.849879264831545,14.938859939575195,53682963,Telefónica,TEF.MC
2010-07-01,5.1047234535217285,15.186027526855469,14.775729179382324,14.83999252319336,37901319,Telefónica,TEF.MC
2010-07-02,5.1419358253479,15.36398983001709,14.849879264831545,14.919086456298828,31773372,Telefónica,TEF.MC
2010-07-05,5.121636867523193,15.101990699768066,14.904255867004396,15.027840614318848,17407495,Telefónica,TEF.MC
2010-07-06,5.250186443328857,15.47274398803711,14.988293647766112,14.988293647766112,30800580,Telefónica,TEF.MC
2010-07-07,5.405797481536865,15.803949356079102,15.186027526855469,15.344216346740724,34417476,Telefónica,TEF.MC
2010-07-08,5.470071792602539,16.056060791015625,15.818779945373535,15.818779945373535,28613459,Telefónica,TEF.MC
2010-07-09,5.483604431152344,16.174701690673828,15.873156547546388,15.98685359954834,27442352,Telefónica,TEF.MC
