Date,Close,High,Low,Open,Volume,Company,Ticker
2011-01-24,1.6342679262161257,2.2673990726470947,2.154691934585572,2.154691934585572,9233242,International Airlines Group,IAG.MC
2011-01-25,1.584894776344299,2.2402169704437256,2.111598014831543,2.220989942550659,12699376,International Airlines Group,IAG.MC
2011-01-26,1.5671194791793823,2.154691934585572,2.097012042999268,2.1281731128692627,16541260,International Airlines Group,IAG.MC
2011-01-27,1.5453953742980957,2.149388074874878,2.075134038925171,2.121542930603028,30589204,International Airlines Group,IAG.MC
2011-01-28,1.5009592771530151,2.0731449127197266,2.008836030960083,2.055243968963623,51003134,International Airlines Group,IAG.MC
2011-01-31,1.481209397315979,2.0094990730285645,1.929278016090393,1.9889459609985352,9096893,International Airlines Group,IAG.MC
2011-02-01,1.4984906911849976,2.058558940887451,1.9896090030670168,2.0022060871124268,20515808,International Airlines Group,IAG.MC
2011-02-02,1.4940468072891235,2.0883939266204834,1.9425380229949951,2.0883939266204834,27542254,International Airlines Group,IAG.MC
2011-02-03,1.5197209119796753,2.048614978790283,1.9657419919967647,2.048614978790283,16611259,International Airlines Group,IAG.MC
2011-02-04,1.5108336210250854,2.059885025024414,2.002868890762329,2.0399959087371826,35381251,International Airlines Group,IAG.MC
2011-02-07,1.5898314714431765,2.1348021030426025,2.0353550910949707,2.058558940887451,27978172,International Airlines Group,IAG.MC
2011-02-08,1.5552701950073242,2.1281731128692627,2.077122926712036,2.108283042907715,19854279,International Airlines Group,IAG.MC
2011-02-09,1.503427267074585,2.1016530990600586,2.016792058944702,2.096349000930786,12520273,International Airlines Group,IAG.MC
2011-02-10,1.4639288187026978,1.9889459609985352,1.896129012107849,1.9889459609985352,10930888,International Airlines Group,IAG.MC
2011-02-11,1.445660948753357,1.975687026977539,1.9166810512542725,1.972372055053711,21459046,International Airlines Group,IAG.MC
2011-02-14,1.436279535293579,1.983641982078552,1.911376953125,1.983641982078552,8031840,International Airlines Group,IAG.MC
2011-02-15,1.4614601135253906,1.962427020072937,1.9027589559555047,1.929278016090393,4462490,International Airlines Group,IAG.MC
2011-02-16,1.496021747589111,2.008836030960083,1.965078949928284,1.9790019989013672,9824252,International Airlines Group,IAG.MC
2011-02-17,1.4708415269851685,2.0114879608154297,1.9670679569244385,2.000880002975464,5431650,International Airlines Group,IAG.MC
