Date,Close,High,Low,Open,Volume,Company,Ticker
2010-06-01,3.9773857593536377,4.699999809265137,4.510499954223633,4.690000057220459,2241534,Grifols,GRF.MC
2010-06-02,3.994712829589844,4.622499942779541,4.5,4.564499855041504,2091184,Grifols,GRF.MC
2010-06-03,4.041495800018311,4.710999965667725,4.643499851226807,4.669000148773193,1554246,Grifols,GRF.MC
2010-06-04,4.014205932617188,4.748499870300293,4.571000099182129,4.704999923706055,4916468,Grifols,GRF.MC
2010-06-07,3.672866106033325,4.498499870300293,4.159999847412109,4.474999904632568,14983332,Grifols,GRF.MC
2010-06-08,3.8205771446228014,4.414500236511231,4.212500095367432,4.276999950408936,13950696,Grifols,GRF.MC
2010-06-09,3.79848575592041,4.460000038146973,4.324999809265137,4.440000057220459,6003552,Grifols,GRF.MC
2010-06-10,3.821010828018189,4.480000019073486,4.355999946594238,4.355999946594238,7578244,Grifols,GRF.MC
2010-06-11,3.802384614944458,4.494999885559082,4.371500015258789,4.434999942779541,9772246,Grifols,GRF.MC
2010-06-14,3.811913728713989,4.465000152587891,4.324999809265137,4.414999961853027,5051756,Grifols,GRF.MC
2010-06-15,3.960925579071045,4.579999923706055,4.3480000495910645,4.376999855041504,4176594,Grifols,GRF.MC
2010-06-16,3.978685140609741,4.690000057220459,4.517499923706055,4.59499979019165,5256634,Grifols,GRF.MC
2010-06-17,3.874290943145752,4.593500137329102,4.460000038146973,4.593500137329102,2928946,Grifols,GRF.MC
2010-06-18,3.868659734725952,4.550000190734863,4.426499843597412,4.480000019073486,2949534,Grifols,GRF.MC
2010-06-21,3.865194320678711,4.537000179290772,4.440000057220459,4.465499877929688,2629310,Grifols,GRF.MC
2010-06-22,4.001643657684326,4.61899995803833,4.448999881744385,4.4629998207092285,3109440,Grifols,GRF.MC
2010-06-23,3.905912399291992,4.64900016784668,4.508500099182129,4.5980000495910645,2564448,Grifols,GRF.MC
2010-06-24,3.9132773876190186,4.557499885559082,4.449999809265137,4.555500030517578,2182100,Grifols,GRF.MC
