Function,Best,Worst,Average,Std. Dev.
Rastrigin,7.105427357601002e-15,1.989918114186608,0.8954631513839797,0.4701993059493012
Rosenbrock,3.116478948615425e-14,6.129917893404371e-12,1.9010014993534103e-12,1.6614179716392034e-12
Himmelblau,1.0631468761230095e-17,1.1533413316690432e-15,4.897174826455568e-16,3.27661453365366e-16
