,muPort,sigmaPort,sharpe,VaR99,CVaR99
Equal Weight,0.09416567134614723,0.22379384732140203,0.15266582059818706,0.03729927543079675,0.05382095268874872
Model 1 - Min Variance,0.13572893860879254,0.17492429433269563,0.4329240766566169,0.029458527543868112,0.04027974768672369
Model 2 - CVaR,0.14268715768651513,0.18236103167261875,0.45342558620176143,0.029400619450324853,0.03868506580894509
Model 3 - Semivariance,0.14030243241447568,0.17551786563466382,0.45751714290796613,0.02910648001957052,0.0399905634061444
