Model,DeltaMU,DeltaSigma,DeltaSR,DeltaCVaR99
Model 1,-1.3689078389084175e-05,4.590361331879844e-07,-7.939245063437461e-05,1.3016029964049713e-06
Model 2,0.004483127847629886,0.0029823403086799982,0.016892096322604633,9.075618545470454e-05
Model 3,4.323749183121617e-05,-1.987258022670413e-05,0.0002981747834034931,7.633297446976717e-07
