Variant,muP,sigmaP,SR,CVaR99%,RankMu,RankSigma,rankSR,rankCVar,rankTot
Model 2 (budget + cardinality),0.147170285534145,0.1853455196006941,0.4703123427096783,0.0387758219943997,1.0,6.0,1.0,2.0,10.0
Model 2 (unconstrained),0.1426871576865151,0.1823631792920141,0.4534202463870737,0.038685065808945,2.0,5.0,4.0,1.0,12.0
Model 3 (budget + cardinality),0.1403456699063068,0.1754993128373574,0.4578118774787824,0.0399913267358891,3.0,3.0,2.0,4.0,12.0
Model 3 (unconstrained),0.1403024324144756,0.1755191854175841,0.4575137026953789,0.0399905634061444,4.0,4.0,3.0,3.0,14.0
Model 1 (unconstrained),0.1357286932083296,0.1749255447303129,0.4329195791562774,0.0402798190126642,5.0,1.0,5.0,5.0,16.0
Model 1 (budget + cardinality),0.1357150041299405,0.1749260037664461,0.432840186705643,0.0402811206156606,6.0,2.0,6.0,6.0,20.0
