,VaR95%,VaR99%,CVaR95%,CVaR99%
Historical,213761.6138161387,372992.7543079675,326775.27792631724,538209.5268874873
Normal,228149.58723764986,324224.5148934945,287058.06770348595,371996.83262808644
Student-t,204378.4298203509,379637.60792040883,323038.1002290849,556130.6265807198
