,VaR95%,VaR99%,CVaR95%,CVaR99%
Historical,3393360.42005599,5921076.412367387,5187396.719982299,8543811.368340135
Normal,3621762.417317144,5146904.612152464,4556905.553868996,5905266.645825809
Student-t,3244406.991903095,6026560.19330908,5128070.863229496,8828300.006394671
