Variant,mu_P,sigma_P,SR,CVaR99%
Model 1 (unconstrained),0.13572869320832964,0.1749255447303129,0.43291957915627743,0.04027981901266427
Model 1 (budget + cardinality),0.13571500412994056,0.17492600376644613,0.43284018670564306,0.04028112061566068
Model 2 (unconstrained),0.14268715768651513,0.1823631792920141,0.45342024638707373,0.03868506580894509
Model 2 (budget + cardinality),0.14717028553414505,0.1853455196006941,0.47031234270967837,0.038775821994399766
Model 3 (unconstrained),0.14030243241447568,0.17551918541758416,0.4575137026953789,0.0399905634061444
Model 3 (budget + cardinality),0.1403456699063068,0.17549931283735748,0.45781187747878244,0.03999132673588915
